system:index,CII,RFI,aspect,chirps_30d,chirps_7d,compound_risk,dist_water,elevation,event_id,flood,flood_driver,freeboard_fes,imerg_24h,imerg_3d,imerg_peak_intensity,lt0,lt1,lt3,onshore_wind,rain_intensity_ratio,season_wet,slope,soil_moisture,solar_rad,split,spring_flag_fes,surface_pressure,tide_anomaly,tide_max_fes,tide_range_fes,u_wind_10m,v_wind_10m,wind_dir,wind_speed,.geo
3_405,0.710377358490566,0.64381155258993,90.0,141.27575874328613,0.0,0.15431185066699982,0.0,-4,jul2020,1.0,2,4.647,32.64500045776367,56.85349655151367,9.34999942779541,1,1,1,-0.14885331780910493,0.06571744554647563,0.0,0.9324596524238586,0.395781010389328,88.07394409179688,train,0,101046.6171875,-0.10299999999999998,0.647,1.429,2.813105821609497,2.602593421936035,42.77398960165117,3.832369617283537,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_406,0.11037735849056605,0.4534109266270205,99.41032409667969,141.57137835025787,0.0,0.04993807151913643,0.0,10,jul2020,1.0,1,-9.353,28.94999885559082,55.195499420166016,10.019999504089355,0,0,0,-0.22125821177959448,0.07028058240043825,0.0,5.654172897338867,0.20793713629245758,88.1639633178711,train,0,101103.6484375,-0.10299999999999998,0.647,1.429,3.6311562061309814,3.318246841430664,42.42189588312514,4.918948820021217,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_411,0.11037735849056605,0.6331403949120249,-0.0,156.87931990623474,0.0,0.12547752261161804,0.0,34,jul2020,1.0,1,-33.353,33.310001373291016,58.0464973449707,13.34999942779541,0,0,0,-0.14885331780910493,0.08455825269404528,0.0,0.9274099469184875,0.3357105255126953,88.07394409179688,train,0,101046.6171875,-0.10299999999999998,0.647,1.429,2.813105821609497,2.602593421936035,42.77398960165117,3.832369617283537,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_413,0.28103505720558747,0.5626767164942407,251.66110229492188,138.91101372241974,0.0,0.10441693663597107,0.0,5,jul2020,1.0,1,-4.353,27.19999885559082,57.31599807739258,7.149999618530273,0,0,0,-0.22125821177959448,0.05110390832215475,0.0,2.9452154636383057,0.3402092456817627,88.1639633178711,train,0,101103.6484375,-0.10299999999999998,0.647,1.429,3.6311562061309814,3.318246841430664,42.42189588312514,4.918948820021217,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_414,0.710377358490566,0.6793486416603052,270.0,158.57436609268188,5.333502769470215,0.147466242313385,0.0,-2,jul2020,1.0,2,2.6470000000000002,37.689998626708984,48.81800079345703,7.899999618530273,1,1,1,0.1498036358356476,0.04950669591845284,0.0,1.8641184568405151,0.3448241055011749,99.83525848388672,train,0,101251.6640625,-0.10299999999999998,0.647,1.429,4.747787952423096,4.959644317626953,46.25023267169647,6.865825674931109,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_419,0.11037735849056605,0.6240274079346211,225.16136169433594,150.57133746147156,0.0,0.12547752261161804,0.0,26,jul2020,1.0,1,-25.353,33.310001373291016,58.0464973449707,13.34999942779541,0,0,0,-0.22125821177959448,0.08807733474799542,0.0,5.246804237365723,0.3357105255126953,88.1639633178711,train,0,101103.6484375,-0.10299999999999998,0.647,1.429,3.6311562061309814,3.318246841430664,42.42189588312514,4.918948820021217,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_423,0.4235300958548929,0.6985111170764327,180.0,145.1188507080078,0.0,0.17204871773719788,0.0,3,jul2020,1.0,1,-2.3529999999999998,38.79499816894531,56.784000396728516,14.899999618530273,0,0,0,0.04469478693008444,0.10197178219191744,0.0,0.9274099469184875,0.3775002360343933,100.37268829345703,train,0,101231.7734375,-0.10299999999999998,0.647,1.429,4.603952884674072,4.667161464691162,45.390624968673116,6.555820185285504,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_435,0.3522825765302402,0.6779160245853686,296.447265625,150.9865998029709,10.107036590576172,0.15343989431858063,0.0,4,jul2020,1.0,1,-3.3529999999999998,37.689998626708984,48.81800079345703,7.899999618530273,0,0,0,0.1498036358356476,0.051978264062565414,0.0,6.222915172576904,0.35474157333374023,99.83525848388672,train,0,101251.6640625,-0.10299999999999998,0.647,1.429,4.747787952423096,4.959644317626953,46.25023267169647,6.865825674931109,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_436,0.4235300958548929,0.6765254087266027,134.8528289794922,134.7094316482544,5.618264675140381,0.1665164828300476,0.0,3,jul2020,1.0,1,-2.3529999999999998,38.79499816894531,56.784000396728516,14.899999618530273,0,0,0,0.04469478693008444,0.10979339783213903,0.0,3.9389405250549316,0.3685772120952606,100.37268829345703,train,0,101231.7734375,-0.10299999999999998,0.647,1.429,4.603952884674072,4.667161464691162,45.390624968673116,6.555820185285504,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_440,0.11037735849056605,0.6331403949120249,321.181640625,156.87931990623474,0.0,0.12547752261161804,0.0,38,jul2020,1.0,1,-37.353,33.310001373291016,58.0464973449707,13.34999942779541,0,0,0,-0.14885331780910493,0.08455825269404528,0.0,5.930767059326172,0.3357105255126953,88.07394409179688,train,0,101046.6171875,-0.10299999999999998,0.647,1.429,2.813105821609497,2.602593421936035,42.77398960165117,3.832369617283537,"{""type"":""MultiPoint"",""coordinates"":[]}"
